#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	is_duo	is_trio	is_quartet	is_multigen	Sample_Illumina	Father_Illumina	Mother_Illumina	Sex_char
2446	NA20126	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2446	NA20127	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2446	NA20128	NA20126	NA20127	2	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	f
2466	NA20276	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2467	NA20278	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2467	NA20279	NA20278	NA20282	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2469	NA20282	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2469a	NA20281	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2470	NA20287	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2471	NA20289	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2472	NA20291	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2474	NA20294	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2475	NA20296	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2476	NA20299	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2476a	NA20298	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2479	NA20314	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2480	NA20317	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2480a	NA20318	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2481	NA20321	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2481a	NA20320	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2483	NA20332	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2484	NA20334	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2484a	NA20355	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2486	NA20339	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2487	NA20340	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2488	NA20342	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2490	NA20346	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2491	NA20348	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2493	NA20351	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2494	NA20356	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2494	NA20357	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2494	NA20358	NA20356	NA20357	1	ASW	AFR	0	1	0	0	PRJEB36890.698	PRJEB31736.2504	PRJEB31736.2504	m
2495	NA20359	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
2495a	NA20362	0	0	1	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
2505	NA20412	0	0	2	ASW	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG06	HG02922	0	0	2	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	f
NG06	HG02923	0	0	1	ESN	AFR	0	0	0	0	PRJEB31736.2504	n/a	n/a	m
